total_tracking_events,total_completed_modules,user_id
5526,296,96989
2628,258,938276
3272,477,5021477
3813,244,5044844
5943,321,5051374
3069,259,5181638
5494,620,5410562
1763,29,5410865
3143,23,3390
2862,299,5774
4924,926,11836
4115,175,17833
5465,632,32258
3767,156,102556
7693,292,110119
3569,315,113842
3714,275,153116
2205,171,433737
5517,279,494342
3714,571,496740
2589,287,518124
5409,486,531259
3816,345,791882
3065,636,886996
3294,374,1202367
187,0,1319457
960,0,1776122
157,0,2131303
13,0,2135328
38,0,2395575
12,0,3557828
