id,user_id,journey_id,created_at,enrolling_times,enrollments_at,last_enrolled_at,study_duration,avg_submission_rating
104582,96989,32,2020-04-11 14:39:00,3,,2020-02-26 17:05:00,44.0,4.5
30951,96989,51,2019-08-10 02:42:00,1,2019-06-20 21:01:59,2019-06-20 21:01:00,50.0,3.0
74313,96989,74,2019-12-23 06:22:00,2,,2019-10-31 09:38:00,52.0,2.67
26219,96989,83,2019-06-20 05:45:00,1,2019-06-14 18:15:40,2019-06-14 18:15:00,5.0,3.0
23887,96989,104,2019-05-18 08:58:00,1,2019-05-10 14:30:08,2019-05-10 14:30:00,7.0,4.0
25646,96989,123,2019-06-15 20:48:00,2,2019-05-18 13:10:20-14:00,2019-06-14 13:10:00,1.0,5.0
964728,96989,144,2022-06-12 22:10:00,1,2022-03-06 11:21:57,2022-03-06 11:21:00,98.0,
115532,96989,145,2020-04-19 19:32:00,2,2020-02-11 11:44:26-03:00,2020-04-03 11:44:00,16.0,
76929,96989,153,2020-01-16 18:30:00,1,2019-12-21 14:55:36,2019-12-21 14:55:00,26.0,2.0
888998,96989,163,2022-04-14 05:46:00,2,2020-07-22 19:35:45-10:00,2022-03-10 19:35:00,34.0,5.0
142096,96989,169,2020-05-07 18:40:00,1,2020-04-22 18:43:38,2020-04-22 18:43:00,14.0,
208936,96989,171,2020-06-26 09:30:00,1,2020-04-14 18:30:06,2020-04-14 18:30:00,72.0,4.0
626494,96989,191,2021-07-25 22:03:00,1,2021-05-15 21:06:52,2021-05-15 21:06:00,71.0,
996788,96989,219,2022-06-27 06:09:00,1,2022-04-14 05:47:52,2022-04-14 05:47:00,74.0,4.0
461796,96989,251,2021-04-29 09:12:00,1,2021-04-11 21:52:15,2021-04-11 21:52:00,17.0,
842568,96989,256,2022-02-26 16:03:00,1,2022-02-18 20:22:30,2022-02-18 20:22:00,7.0,
850798,96989,261,2022-03-06 16:11:00,1,2022-03-05 21:55:22,2022-03-05 21:55:00,0.0,5.0
611190,96989,266,2021-07-20 21:25:00,1,2021-06-16 12:27:22,2021-06-16 12:27:00,34.0,
855798,96989,315,2022-03-10 19:26:00,2,2022-03-07 21:06:47-07:00,2022-03-07 21:06:00,2.0,4.0
