developer_id,completed,in_progress,not_started,total_journeys
3390,296,3283,1947,5526
5774,258,1656,714,2628
11836,477,1265,1530,3272
17833,244,2597,972,3813
32258,321,2895,2727,5943
96989,259,1900,910,3069
102556,620,3764,1110,5494
110119,29,920,814,1763
113842,23,1221,1899,3143
153116,299,1529,1034,2862
433737,926,3663,335,4924
494342,175,2180,1760,4115
496740,632,3105,1728,5465
518124,156,1313,2298,3767
531259,292,5096,2305,7693
791882,315,3041,213,3569
886996,275,2030,1409,3714
938276,171,378,1656,2205
1202367,279,4292,946,5517
1319457,571,3083,60,3714
1776122,287,2230,72,2589
2131303,486,4857,66,5409
2135328,345,3407,64,3816
2395575,636,2355,74,3065
3557828,374,2827,93,3294
5021477,0,187,0,187
5044844,0,960,0,960
5051374,0,157,0,157
5181638,0,13,0,13
5410562,0,38,0,38
5410865,0,12,0,12
