developer_id,materials_completed,active_days,avg_rating,avg_score,study_duration_total,consistency_score,fast_learner_flag,reflective_learner_flag
3390,87,46,1.3448275862068966,0.0,4.58e-08,1.0,1,1
5774,66,34,1.0,0.0,2.4733333333333333e-08,1.0,1,1
11836,80,33,2.0,80.0,7.88e-08,1.0,1,1
17833,64,40,3.12,0.0,3.1116666666666664e-08,1.0,1,0
32258,114,59,2.642857142857143,0.0,7.976666666666667e-08,1.0,1,1
96989,46,32,2.590909090909091,0.0,1.44e-08,1.0,1,1
102556,93,61,2.242424242424242,100.0,1.4143333333333334e-07,1.0,1,1
110119,64,30,2.75,0.0,2.3133333333333332e-08,1.0,1,1
113842,60,26,1.95,0.0,1.31e-08,0.8666666666666667,1,1
153116,60,32,2.3125,0.0,4.37e-08,1.0,1,1
433737,97,50,1.1333333333333333,0.0,8.03e-08,1.0,1,1
494342,83,46,2.6538461538461537,0.0,2.6633333333333334e-08,1.0,1,1
496740,94,42,1.6153846153846154,95.0,8.89e-08,1.0,1,1
518124,84,33,2.5217391304347827,100.0,3.683333333333333e-08,1.0,1,1
531259,128,73,1.1666666666666667,80.0,1.3026666666666667e-07,1.0,1,1
791882,68,45,2.6,0.0,6.950000000000001e-08,1.0,1,1
886996,93,34,3.6470588235294117,95.0,4.0816666666666665e-08,1.0,1,0
938276,45,14,2.6470588235294117,0.0,8.933333333333334e-09,0.4666666666666667,1,1
1202367,103,54,0.42857142857142855,0.0,3.326666666666667e-08,1.0,1,1
1319457,71,52,3.8823529411764706,0.0,2.9616666666666664e-08,1.0,1,0
1776122,58,43,0.8461538461538461,0.0,3.998333333333333e-08,1.0,1,1
2131303,102,52,2.769230769230769,100.0,5.9233333333333334e-08,1.0,1,1
2135328,88,53,3.0,0.0,2.685e-08,1.0,1,0
2395575,67,55,2.2,100.0,2.9333333333333335e-08,1.0,1,1
3557828,72,58,1.6666666666666667,90.0,3.6866666666666666e-08,1.0,1,1
5021477,2,2,0.0,0.0,3.3333333333333335e-11,0.06666666666666667,0,1
5044844,14,12,3.5,0.0,4.766666666666666e-09,0.4,1,0
5051374,6,5,0.0,0.0,2.1166666666666666e-09,0.16666666666666666,1,1
5181638,1,1,0.0,0.0,0.0,0.03333333333333333,0,1
5410562,1,1,0.0,0.0,0.0,0.03333333333333333,0,1
5410865,2,1,0.0,0.0,0.0,0.03333333333333333,0,1
