developer_id,journey_id,tutorial_id,status,first_opened_at,completed_at,last_viewed
96989,26,599,1,,,2017-05-26 21:34:00
96989,26,602,0,,,2017-05-26 21:35:00
96989,32,1152,1,2018-08-29 11:19:00,,
96989,32,719,1,2018-08-29 11:32:00,,
96989,32,725,1,2018-08-29 12:23:00,,
96989,72,2183,1,2018-09-02 17:11:00,,
96989,32,728,1,2018-09-02 17:13:00,,
96989,32,770,1,2018-09-02 17:13:00,,
96989,72,2186,1,2018-09-02 17:26:00,,
96989,72,2189,1,2018-09-02 17:26:00,,
96989,72,2195,1,2018-09-02 17:26:00,,
96989,72,2198,1,2018-09-02 17:26:00,,
96989,72,2240,1,2018-09-02 17:27:00,,
96989,72,2204,1,2018-09-02 17:27:00,,
96989,72,2201,1,2018-09-17 10:49:00,,
96989,72,2243,1,2018-09-17 10:51:00,,
96989,32,737,1,2018-09-21 18:33:00,,
96989,32,2162,1,2018-09-21 20:43:00,,
96989,72,2210,1,2018-10-04 23:00:00,,
96989,72,2213,1,2018-10-04 23:01:00,,
96989,72,2216,1,2018-10-04 23:01:00,,
96989,72,2219,1,2018-10-04 23:02:00,,
96989,72,2222,1,2018-10-04 23:03:00,,
96989,72,2252,1,2018-10-04 23:04:00,,
96989,72,2225,1,2018-10-04 23:04:00,,
96989,72,2258,1,2018-10-04 23:04:00,,
96989,72,2261,1,2018-10-04 23:05:00,,
96989,92,2246,1,2018-10-04 23:09:00,,
96989,92,2249,0,2018-10-04 23:09:00,,
96989,72,2207,1,2018-10-06 23:00:00,,
96989,72,2228,0,2018-10-07 18:18:00,,
96989,14,1160,1,2018-11-29 11:38:00,,
96989,14,1123,1,2018-11-29 11:38:00,,
96989,14,1126,1,2018-11-29 17:32:00,,
96989,14,1129,1,2018-11-29 17:32:00,,
96989,14,1132,1,2018-11-29 17:33:00,,
96989,14,1135,1,2018-11-29 17:34:00,,
96989,14,261,1,2018-11-29 17:37:00,,
96989,14,113,0,2018-11-29 17:50:00,,
96989,60,1788,1,2018-12-13 16:39:00,,
96989,60,1791,1,2018-12-13 16:41:00,,
96989,60,1860,1,2018-12-13 16:47:00,,
96989,60,1794,1,2018-12-13 20:06:00,,
96989,60,1797,0,2018-12-13 20:07:00,,
96989,74,3077,1,2018-12-15 10:28:00,,
96989,74,2393,1,2018-12-15 10:28:00,,
96989,74,2895,1,2018-12-15 10:33:00,,
96989,74,2880,1,2018-12-15 10:36:00,,
96989,74,2402,1,2018-12-15 10:42:00,,
96989,74,2399,1,2018-12-15 10:46:00,,
96989,74,2810,1,2018-12-15 10:46:00,,
96989,74,2815,1,2018-12-15 10:52:00,,
96989,32,740,1,2019-02-05 09:33:00,,
96989,32,767,1,2019-02-05 09:33:00,,
96989,32,731,1,2019-02-05 09:33:00,,
96989,32,734,1,2019-02-05 09:58:00,,
96989,104,3083,1,2019-05-10 14:24:00,,2019-05-10 14:24:00
96989,104,3089,1,2019-05-10 14:29:00,,2019-05-10 14:29:00
96989,104,3563,1,2019-05-10 14:32:00,,2019-05-12 13:06:00
96989,104,3568,1,2019-05-10 14:43:00,,
96989,104,3092,1,2019-05-10 14:44:00,,2019-05-15 15:57:00
96989,104,3095,1,2019-05-10 14:56:00,,2019-05-10 14:56:00
96989,104,3098,1,2019-05-10 14:59:00,,2019-05-10 14:59:00
96989,104,3101,1,2019-05-11 18:18:00,,2019-05-15 15:58:00
96989,104,3104,1,2019-05-11 18:20:00,,2019-05-15 16:00:00
96989,104,3107,1,2019-05-11 18:23:00,2019-05-12 13:06:00,2019-05-11 18:23:00
96989,104,3110,1,2019-05-13 11:45:00,2019-05-13 18:30:00,2019-05-13 18:29:00
96989,104,3233,1,2019-05-13 18:30:00,2019-05-13 18:38:00,2019-05-14 15:39:00
96989,104,3236,1,2019-05-13 18:38:00,2019-05-13 18:51:00,2019-05-14 15:39:00
96989,104,3239,1,2019-05-13 18:51:00,2019-05-13 20:34:00,2019-05-13 18:51:00
96989,104,3242,1,2019-05-13 20:34:00,2019-05-13 20:37:00,2019-05-14 15:39:00
96989,104,3248,1,2019-05-13 20:37:00,2019-05-13 20:41:00,2019-05-13 20:37:00
96989,104,3251,1,2019-05-13 20:41:00,2019-05-13 20:42:00,2019-05-13 20:41:00
96989,104,3263,1,2019-05-13 20:42:00,2019-05-13 20:47:00,2019-05-13 20:42:00
96989,104,3266,1,2019-05-13 20:47:00,2019-05-13 20:52:00,2019-05-14 15:41:00
96989,104,3269,1,2019-05-13 20:52:00,2019-05-14 02:53:00,2019-05-13 20:52:00
96989,104,3272,1,2019-05-14 02:53:00,2019-05-14 14:35:00,2019-05-14 02:53:00
96989,104,3116,1,2019-05-14 14:35:00,2019-05-14 14:58:00,
96989,104,3275,1,2019-05-14 14:58:00,2019-05-14 15:06:00,2019-05-14 15:40:00
96989,104,3221,1,2019-05-14 15:08:00,2019-05-14 15:12:00,2019-05-14 15:08:00
96989,104,3224,1,2019-05-14 15:12:00,2019-05-14 15:14:00,2019-05-14 15:12:00
96989,104,3229,1,2019-05-14 15:14:00,2019-05-14 15:38:00,
96989,104,3230,1,2019-05-14 15:38:00,,2019-05-14 15:43:00
96989,104,3119,1,2019-05-14 19:14:00,2019-05-14 19:20:00,
96989,104,3122,1,2019-05-14 19:20:00,2019-05-15 04:24:00,2019-05-14 19:20:00
96989,104,3125,1,2019-05-15 04:24:00,2019-05-15 05:18:00,2019-05-15 04:24:00
96989,104,3131,1,2019-05-15 05:18:00,2019-05-15 06:14:00,2019-05-15 20:26:00
96989,104,3134,1,2019-05-15 06:14:00,2019-05-15 06:26:00,
96989,104,3137,1,2019-05-15 06:26:00,2019-05-15 06:35:00,2019-05-15 06:26:00
96989,104,3143,1,2019-05-15 06:35:00,2019-05-15 06:45:00,2019-05-15 06:35:00
96989,104,3146,1,2019-05-15 06:45:00,2019-05-15 07:02:00,2019-05-15 06:45:00
96989,104,3149,1,2019-05-15 07:02:00,2019-05-15 12:19:00,2019-05-15 07:02:00
96989,104,3152,1,2019-05-15 12:19:00,2019-05-15 12:27:00,2019-05-15 20:17:00
96989,104,3155,1,2019-05-15 12:27:00,2019-05-15 12:57:00,2019-05-15 12:27:00
96989,104,3158,1,2019-05-15 12:57:00,2019-05-15 12:59:00,2019-05-15 12:57:00
96989,104,3161,1,2019-05-15 12:59:00,2019-05-15 15:44:00,2019-05-15 16:00:00
96989,104,3164,1,2019-05-15 15:44:00,2019-05-15 15:49:00,2019-05-15 16:02:00
96989,104,3167,1,2019-05-15 16:06:00,2019-05-15 16:09:00,2019-05-15 20:25:00
96989,104,3182,1,2019-05-15 16:09:00,2019-05-15 16:11:00,
96989,104,3188,1,2019-05-15 16:11:00,2019-05-15 16:17:00,2019-05-15 16:11:00
96989,104,3191,1,2019-05-15 16:17:00,2019-05-15 16:22:00,2019-05-15 16:17:00
96989,104,3194,1,2019-05-15 16:22:00,2019-05-15 16:36:00,
96989,104,3197,1,2019-05-15 16:36:00,2019-05-15 16:45:00,2019-05-15 16:36:00
96989,104,3560,1,2019-05-15 16:45:00,2019-05-18 08:58:00,
96989,104,3053,1,2019-05-15 16:53:00,2019-05-15 16:53:00,2019-05-17 20:39:00
96989,104,3446,1,2019-05-15 17:03:00,2019-05-15 17:05:00,2019-05-17 23:04:00
96989,104,3140,1,2019-05-15 17:05:00,2019-05-15 17:05:00,2019-05-17 22:56:00
96989,104,3461,1,2019-05-15 17:05:00,2019-05-15 17:08:00,2019-05-18 04:09:00
96989,104,3700,1,2019-05-17 23:28:00,,2019-05-17 23:28:00
96989,104,3347,1,2019-05-17 23:29:00,2019-05-18 04:09:00,2019-05-18 04:14:00
96989,104,3350,1,2019-05-18 04:17:00,2019-05-18 04:20:00,2019-05-18 04:17:00
96989,104,3353,1,2019-05-18 04:20:00,2019-05-18 04:25:00,2019-05-18 04:20:00
96989,104,3356,1,2019-05-18 04:25:00,2019-05-18 04:31:00,2019-05-18 04:25:00
96989,104,3359,1,2019-05-18 04:31:00,2019-05-18 04:35:00,2019-05-18 04:31:00
96989,104,3362,1,2019-05-18 04:35:00,2019-05-18 04:38:00,2019-05-18 04:35:00
96989,104,3365,1,2019-05-18 04:37:00,2019-05-18 04:41:00,2019-05-18 04:37:00
96989,104,3368,1,2019-05-18 04:41:00,2019-05-18 04:45:00,2019-05-18 04:41:00
96989,104,3371,1,2019-05-18 04:45:00,,2019-05-18 04:46:00
96989,104,3056,1,2019-05-18 04:46:00,2019-05-18 04:58:00,2019-05-18 04:46:00
96989,104,3712,1,2019-05-18 04:58:00,2019-05-18 05:01:00,2019-05-18 04:58:00
96989,104,3200,1,2019-05-18 05:01:00,2019-05-18 05:08:00,2019-05-18 05:01:00
96989,104,3203,1,2019-05-18 05:08:00,2019-05-18 05:10:00,2019-05-18 05:08:00
96989,104,3218,1,2019-05-18 05:10:00,2019-05-18 05:12:00,2019-05-18 05:10:00
96989,104,3206,1,2019-05-18 05:12:00,2019-05-18 05:14:00,2019-05-18 05:12:00
96989,104,3317,1,2019-05-18 05:14:00,2019-05-18 05:18:00,2019-05-18 05:14:00
96989,104,3323,1,2019-05-18 05:18:00,2019-05-18 05:21:00,2019-05-18 05:18:00
96989,104,3338,1,2019-05-18 05:21:00,2019-05-18 05:21:00,2019-05-18 05:21:00
96989,104,3344,1,2019-05-18 05:21:00,2019-05-18 05:21:00,2019-05-18 05:21:00
96989,123,4099,1,2019-05-18 20:06:00,2019-05-18 20:10:00,
96989,123,4101,1,2019-05-18 20:10:00,2019-05-18 20:11:00,2019-05-18 20:10:00
96989,123,4104,1,2019-05-18 20:11:00,2019-05-18 20:12:00,
96989,123,4106,1,2019-05-18 20:12:00,2019-05-18 20:12:00,2019-05-18 20:12:00
96989,123,4107,1,2019-05-18 20:12:00,2019-05-18 20:12:00,2019-05-18 20:12:00
96989,123,4110,1,2019-05-18 20:12:00,2019-05-18 20:13:00,
96989,123,4113,1,2019-05-18 20:13:00,2019-05-18 20:14:00,
96989,123,4114,1,2019-05-18 20:14:00,2019-05-18 20:14:00,2019-05-18 20:14:00
96989,123,4115,1,2019-05-18 20:14:00,2019-05-18 20:15:00,
96989,123,4117,1,2019-05-18 20:15:00,2019-05-18 20:17:00,
96989,123,4118,1,2019-05-18 20:17:00,2019-05-18 20:17:00,
96989,123,4119,1,2019-05-18 20:17:00,2019-05-18 20:17:00,
96989,123,4122,1,2019-05-18 20:17:00,2019-05-18 20:18:00,
96989,123,4125,1,2019-05-18 20:18:00,2019-05-18 20:18:00,
